"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;",,,,,,,,,,,,";"buzzardLabel";13;"";;;
2;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
3;"";"Version1.0.0.";1;"";;;
4;"REF**";"Logo-Back-SolderedFULL-13mm";1;"Logo-Front-SolderedFULL-13mm";;;
5;"REF**";"Logo-Front-SolderedFULL-13mm";1;"Logo-Front-SolderedFULL-13mm";;;
6;"HOLE_L4,HOLE_L3,HOLE_L2,HOLE_L1";"";4;"";;;
7;"C8";"ELECTROLITIC_CAP_4mm";1;"10uF_16V_ELEC_4mm";;;
8;"U1";"PIR_senzor";1;"PIR_senzor";;;
9;"U3";"SOP-16";1;"BISS0001";;;
10;"U2";"SOT-23-5";1;"SE5218";;;
11;"R11,R6";"0603R";2;"1M";;;
12;"R10";"0603R";1;"10k";;;
13;"R9,R1";"tc33x-2-103e";2;"TC33X-2-105E";;;
14;"R8,R5";"0603R";2;"47k";;;
15;"R7";"0603R";1;"2M";;;
16;"R4";"0603R";1;"15k";;;
17;"R3,R2";"0603R";2;"1k";;;
18;"K2";"HEADER_MALE_3X1";1;"HEADER_MALE_3X1";;;
19;"K1";"HEADER_MALE_2X1";1;"HEADER_MALE_2X1";;;
20;"JP3";"SMD_JUMPER_3_PAD_CONNECTED_RIGHT";1;"SMD_JUMPER_3_PAD_CONNECTED_RIGHT";;;
21;"JP2";"SMD_JUMPER";1;"SMD_JUMPER";;;
22;"JP1";"SMD-JUMPER-CONNECTED_TRACE_NOSLODERMASK";1;"SMD-JUMPER-CONNECTED_TRACE_NOSLODERMASK";;;
23;"H2,H1";"HOLE_3.2mm";2;"HOLE_3.2mm";;;
24;"FD1";"FIDUCIAL_1MM_PASTE";1;"Fiducial_Stencil";;;
25;"C9,C6,C5,C4,C3";"0603C";5;"10n";;;
26;"C7";"0603C";1;"47u";;;
27;"C2,C1";"0603C";2;"2.2uF";;;
